RAdeg,DEdeg,Umag,Bmag,Vmag,Imag,Jmag,Hmag,Ksmag,[3.6],[4.5],[5.8],[8.0],[24],SpClass,GeneralClass
85.4893,-69.2052,-4.227,-4.446,-5.714,,-8.78,,,-9.9771,-9.8797,-10.1062,-10.371699999999999,-11.628699999999998,RSG,DSS
85.5162,-69.2188,-4.456999999999999,-4.166,-5.224,,,,,-10.0139,-9.847299999999999,-10.1661,-10.5705,-12.1537,RSG,DSS
85.5283,-69.2087,-6.0969999999999995,-5.9559999999999995,-5.953999999999999,,-8.799999999999999,-9.67,,-9.977599999999999,-9.9591,-10.3257,-10.887899999999998,-12.5756,RSG,DSS
85.5416,-69.2247,-0.5640000000000001,-2.4570000000000007,-4.587999999999999,-7.0489999999999995,-8.67,,,-10.0399,-9.941699999999999,-10.2712,-10.73,-12.471599999999999,RSG,DSS
85.6272,-69.8159,0.09299999999999997,-0.9830000000000005,-2.7590000000000003,-5.911999999999999,-7.719999999999999,-8.73,,-9.215399999999999,-9.0608,-9.2759,-9.4871,-9.8806,OAGB,DSS
85.7276,-70.1355,,1.5040000000000013,-0.5889999999999986,-4.584999999999999,-6.879999999999999,-7.779999999999999,,-8.5001,-8.4485,-8.6477,-8.7887,-10.2872,OAGB,DSS
85.7953,-67.4579,0.16000000000000014,-1.6179999999999986,-3.407,-5.446,-6.65,-7.449999999999999,-7.709999999999999,-8.028599999999999,-8.3803,-8.998,-10.671399999999998,-14.181,PAGB,DSS
85.8092,-70.6431,-1.0999999999999979,-1.556000000000001,-3.0619999999999994,-5.878,-7.4,-8.4,,-8.9139,-8.7773,-8.978299999999999,-9.045499999999999,-9.4474,OAGB,DSS
85.8699,-69.7122,,1.443999999999999,-1.038999999999998,-3.7989999999999995,-5.59,-6.67,-7.309999999999999,-8.2104,-8.119399999999999,-8.2487,-8.8591,-10.2242,CAGB,DSS
86.0254,-68.6316,-0.4869999999999983,-0.879999999999999,-3.657,-6.5489999999999995,-8.27,-9.19,,-9.799,-9.766,-10.0406,-10.2602,-11.5329,OAGB,DSS
86.158,-67.6161,,,,,-4.379999999999999,-6.049999999999999,-7.449999999999999,-9.125,-9.749799999999999,-10.190999999999999,-10.6715,-11.3904,CAGB,DSS
86.1671,-69.197,2.053000000000001,-0.1280000000000001,-1.876999999999999,-4.155999999999999,-5.5,-6.33,-6.6,-6.7532,-6.7096,-6.8980999999999995,-8.0804,-11.017199999999999,OAGB,DSS
86.2093,-69.3847,1.8919999999999995,2.062999999999999,1.5079999999999991,0.18400000000000105,-1.2100000000000009,-2.2300000000000004,-3.49,-5.8362,-6.7735,-8.2099,-9.7069,-15.941699999999999,YSO,DSS
86.9409,-68.1262,-4.094999999999999,-4.168999999999999,-4.341999999999999,-4.366999999999999,-4.889999999999999,-5.25,-5.99,-7.7293,-8.427299999999999,-8.994,-9.8895,-11.914,YSO,DSS
87.0702,-71.4777,,,,,-6.129999999999999,-7.4,-8.26,-9.353,-9.5696,-9.844199999999999,-10.242899999999999,-10.4079,CAGB,DSS
87.2504,-70.5562,,3.146000000000001,2.564,2.3320000000000007,,,,-3.1113999999999997,-4.8369,-7.2087,-10.0565,-16.1009,CAGB,DSS
87.6526,-68.4812,3.0869999999999997,0.7890000000000015,-1.375,-3.8309999999999995,-5.52,-6.4399999999999995,-6.9399999999999995,-7.4437999999999995,-7.4297,-7.659599999999999,-7.8451,,CAGB,DSS
